"AccountNumber","NMI","DeviceNumber","DeviceType","RegisterCode","RateTypeDescription","StartDate","EndDate","ProfileReadValue","RegisterReadValue","QualityFlag",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 6:00:00 PM","22/11/2014 6:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 6:30:00 PM","22/11/2014 6:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 7:00:00 PM","22/11/2014 7:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 7:30:00 PM","22/11/2014 7:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 8:00:00 PM","22/11/2014 8:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 8:30:00 PM","22/11/2014 8:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 9:00:00 PM","22/11/2014 9:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 9:30:00 PM","22/11/2014 9:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 10:00:00 PM","22/11/2014 10:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 10:30:00 PM","22/11/2014 10:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 11:00:00 PM","22/11/2014 11:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","22/11/2014 11:30:00 PM","22/11/2014 11:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 12:00:00 AM","23/11/2014 12:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 12:30:00 AM","23/11/2014 12:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 1:00:00 AM","23/11/2014 1:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 1:30:00 AM","23/11/2014 1:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 2:00:00 AM","23/11/2014 2:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 2:30:00 AM","23/11/2014 2:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 3:00:00 AM","23/11/2014 3:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 3:30:00 AM","23/11/2014 3:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 4:00:00 AM","23/11/2014 4:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 4:30:00 AM","23/11/2014 4:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 5:00:00 AM","23/11/2014 5:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 5:30:00 AM","23/11/2014 5:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 6:00:00 AM","23/11/2014 6:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 6:30:00 AM","23/11/2014 6:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 7:00:00 AM","23/11/2014 7:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 7:30:00 AM","23/11/2014 7:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 8:00:00 AM","23/11/2014 8:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 8:30:00 AM","23/11/2014 8:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 9:00:00 AM","23/11/2014 9:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 9:30:00 AM","23/11/2014 9:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 10:00:00 AM","23/11/2014 10:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 10:30:00 AM","23/11/2014 10:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 11:00:00 AM","23/11/2014 11:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 11:30:00 AM","23/11/2014 11:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 12:00:00 PM","23/11/2014 12:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 12:30:00 PM","23/11/2014 12:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 1:00:00 PM","23/11/2014 1:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 1:30:00 PM","23/11/2014 1:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 2:00:00 PM","23/11/2014 2:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 2:30:00 PM","23/11/2014 2:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 3:00:00 PM","23/11/2014 3:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 3:30:00 PM","23/11/2014 3:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 4:00:00 PM","23/11/2014 4:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 4:30:00 PM","23/11/2014 4:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 5:00:00 PM","23/11/2014 5:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 5:30:00 PM","23/11/2014 5:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 6:00:00 PM","23/11/2014 6:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 6:30:00 PM","23/11/2014 6:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 7:00:00 PM","23/11/2014 7:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 7:30:00 PM","23/11/2014 7:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 8:00:00 PM","23/11/2014 8:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 8:30:00 PM","23/11/2014 8:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 9:00:00 PM","23/11/2014 9:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 9:30:00 PM","23/11/2014 9:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 10:00:00 PM","23/11/2014 10:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 10:30:00 PM","23/11/2014 10:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 11:00:00 PM","23/11/2014 11:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","23/11/2014 11:30:00 PM","23/11/2014 11:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 12:00:00 AM","24/11/2014 12:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 12:30:00 AM","24/11/2014 12:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 1:00:00 AM","24/11/2014 1:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 1:30:00 AM","24/11/2014 1:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 2:00:00 AM","24/11/2014 2:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 2:30:00 AM","24/11/2014 2:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 3:00:00 AM","24/11/2014 3:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 3:30:00 AM","24/11/2014 3:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 4:00:00 AM","24/11/2014 4:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 4:30:00 AM","24/11/2014 4:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 5:00:00 AM","24/11/2014 5:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 5:30:00 AM","24/11/2014 5:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 6:00:00 AM","24/11/2014 6:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 6:30:00 AM","24/11/2014 6:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 7:00:00 AM","24/11/2014 7:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 7:30:00 AM","24/11/2014 7:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 8:00:00 AM","24/11/2014 8:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 8:30:00 AM","24/11/2014 8:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 9:00:00 AM","24/11/2014 9:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 9:30:00 AM","24/11/2014 9:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 10:00:00 AM","24/11/2014 10:29:59 AM","0.013","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 10:30:00 AM","24/11/2014 10:59:59 AM","0.013","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 11:00:00 AM","24/11/2014 11:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 11:30:00 AM","24/11/2014 11:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 12:00:00 PM","24/11/2014 12:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 12:30:00 PM","24/11/2014 12:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 1:00:00 PM","24/11/2014 1:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 1:30:00 PM","24/11/2014 1:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 2:00:00 PM","24/11/2014 2:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 2:30:00 PM","24/11/2014 2:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 3:00:00 PM","24/11/2014 3:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 3:30:00 PM","24/11/2014 3:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 4:00:00 PM","24/11/2014 4:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 4:30:00 PM","24/11/2014 4:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 5:00:00 PM","24/11/2014 5:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 5:30:00 PM","24/11/2014 5:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 6:00:00 PM","24/11/2014 6:29:59 PM","0.194","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 6:30:00 PM","24/11/2014 6:59:59 PM","0.256","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 7:00:00 PM","24/11/2014 7:29:59 PM","0.05","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 7:30:00 PM","24/11/2014 7:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 8:00:00 PM","24/11/2014 8:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 8:30:00 PM","24/11/2014 8:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 9:00:00 PM","24/11/2014 9:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 9:30:00 PM","24/11/2014 9:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 10:00:00 PM","24/11/2014 10:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 10:30:00 PM","24/11/2014 10:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 11:00:00 PM","24/11/2014 11:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","24/11/2014 11:30:00 PM","24/11/2014 11:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 12:00:00 AM","25/11/2014 12:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 12:30:00 AM","25/11/2014 12:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 1:00:00 AM","25/11/2014 1:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 1:30:00 AM","25/11/2014 1:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 2:00:00 AM","25/11/2014 2:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 2:30:00 AM","25/11/2014 2:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 3:00:00 AM","25/11/2014 3:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 3:30:00 AM","25/11/2014 3:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 4:00:00 AM","25/11/2014 4:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 4:30:00 AM","25/11/2014 4:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 5:00:00 AM","25/11/2014 5:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 5:30:00 AM","25/11/2014 5:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 6:00:00 AM","25/11/2014 6:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 6:30:00 AM","25/11/2014 6:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 7:00:00 AM","25/11/2014 7:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 7:30:00 AM","25/11/2014 7:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 8:00:00 AM","25/11/2014 8:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 8:30:00 AM","25/11/2014 8:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 9:00:00 AM","25/11/2014 9:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 9:30:00 AM","25/11/2014 9:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 10:00:00 AM","25/11/2014 10:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 10:30:00 AM","25/11/2014 10:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 11:00:00 AM","25/11/2014 11:29:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 11:30:00 AM","25/11/2014 11:59:59 AM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 12:00:00 PM","25/11/2014 12:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 12:30:00 PM","25/11/2014 12:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 1:00:00 PM","25/11/2014 1:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 1:30:00 PM","25/11/2014 1:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 2:00:00 PM","25/11/2014 2:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 2:30:00 PM","25/11/2014 2:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 3:00:00 PM","25/11/2014 3:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 3:30:00 PM","25/11/2014 3:59:59 PM","0.069","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 4:00:00 PM","25/11/2014 4:29:59 PM","0.038","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 4:30:00 PM","25/11/2014 4:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 5:00:00 PM","25/11/2014 5:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 5:30:00 PM","25/11/2014 5:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 6:00:00 PM","25/11/2014 6:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 6:30:00 PM","25/11/2014 6:59:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 7:00:00 PM","25/11/2014 7:29:59 PM","0","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 7:30:00 PM","25/11/2014 7:59:59 PM","0.044","0","A",
"86413887","60010521477","000000000000173482","MRIM","73482#E1","Peak","25/11/2014 8:00:00 PM","25/11/2014 8:29:59 PM","0.138","0","A",
